organization_id,source_system,source_record_id,company_id,company_name,industry,region,employee_count,annual_revenue_usd,lifecycle_stage,source_updated_at,ingested_at,normalized_at
org_northstar_001,hubspot,hub_company_1,cmp_0001,Company 0001,Professional Services,North America,47,3964418.26,customer,2025-04-25T12:00:00Z,2025-04-25T12:05:00Z,2025-04-25T12:10:00Z
org_northstar_001,hubspot,hub_company_2,cmp_0002,Company 0002,Technology,North America,43,4410618.58,customer,2026-07-13T12:00:00Z,2026-07-13T12:05:00Z,2026-07-13T12:10:00Z
org_northstar_001,hubspot,hub_company_3,cmp_0003,Company 0003,Manufacturing,North America,36,4784013.59,prospect,2026-07-29T12:00:00Z,2026-07-29T12:05:00Z,2026-07-29T12:10:00Z
org_northstar_001,hubspot,hub_company_4,cmp_0004,Company 0004,Retail,North America,163,14958042.19,churned,2025-01-07T12:00:00Z,2025-01-07T12:05:00Z,2025-01-07T12:10:00Z
org_northstar_001,hubspot,hub_company_5,cmp_0005,Company 0005,Healthcare,Asia Pacific,48,7417038.93,customer,2025-12-11T12:00:00Z,2025-12-11T12:05:00Z,2025-12-11T12:10:00Z
org_northstar_001,hubspot,hub_company_6,cmp_0006,Company 0006,Retail,North America,622,69069964.74,customer,2026-04-16T12:00:00Z,2026-04-16T12:05:00Z,2026-04-16T12:10:00Z
org_northstar_001,hubspot,hub_company_7,cmp_0007,Company 0007,Technology,Europe,153,27269123.86,churned,2026-01-06T12:00:00Z,2026-01-06T12:05:00Z,2026-01-06T12:10:00Z
org_northstar_001,hubspot,hub_company_8,cmp_0008,Company 0008,Retail,Europe,235,28452978.69,prospect,2025-08-27T12:00:00Z,2025-08-27T12:05:00Z,2025-08-27T12:10:00Z
org_northstar_001,hubspot,hub_company_9,cmp_0009,Company 0009,Financial Services,Europe,229,35558740.04,lead,2025-08-03T12:00:00Z,2025-08-03T12:05:00Z,2025-08-03T12:10:00Z
org_northstar_001,hubspot,hub_company_10,cmp_0010,Company 0010,Financial Services,Europe,54,5440290.72,prospect,2025-09-08T12:00:00Z,2025-09-08T12:05:00Z,2025-09-08T12:10:00Z
org_northstar_001,hubspot,hub_company_11,cmp_0011,Company 0011,Professional Services,Asia Pacific,79,11803011.37,customer,2025-02-27T12:00:00Z,2025-02-27T12:05:00Z,2025-02-27T12:10:00Z
org_northstar_001,hubspot,hub_company_12,cmp_0012,Company 0012,Financial Services,North America,153,16383733.17,prospect,2025-08-06T12:00:00Z,2025-08-06T12:05:00Z,2025-08-06T12:10:00Z
org_northstar_001,hubspot,hub_company_13,cmp_0013,Company 0013,Retail,Asia Pacific,134,16872753.48,prospect,2026-07-29T12:00:00Z,2026-07-29T12:05:00Z,2026-07-29T12:10:00Z
org_northstar_001,hubspot,hub_company_14,cmp_0014,Company 0014,Technology,Asia Pacific,111,10145154.1,lead,2025-05-22T12:00:00Z,2025-05-22T12:05:00Z,2025-05-22T12:10:00Z
org_northstar_001,hubspot,hub_company_15,cmp_0015,Company 0015,Manufacturing,Latin America,134,19306185.11,churned,2026-03-09T12:00:00Z,2026-03-09T12:05:00Z,2026-03-09T12:10:00Z
org_northstar_001,hubspot,hub_company_16,cmp_0016,Company 0016,Manufacturing,Asia Pacific,142,25219742.81,prospect,2025-01-12T12:00:00Z,2025-01-12T12:05:00Z,2025-01-12T12:10:00Z
org_northstar_001,hubspot,hub_company_17,cmp_0017,Company 0017,Financial Services,Asia Pacific,94,10046199.91,customer,2025-10-28T12:00:00Z,2025-10-28T12:05:00Z,2025-10-28T12:10:00Z
org_northstar_001,hubspot,hub_company_18,cmp_0018,Company 0018,Financial Services,North America,111,17699275.15,customer,2025-07-02T12:00:00Z,2025-07-02T12:05:00Z,2025-07-02T12:10:00Z
org_northstar_001,hubspot,hub_company_19,cmp_0019,Company 0019,Education,Asia Pacific,90,17873018.03,customer,2025-06-06T12:00:00Z,2025-06-06T12:05:00Z,2025-06-06T12:10:00Z
org_northstar_001,hubspot,hub_company_20,cmp_0020,Company 0020,Manufacturing,Latin America,84,6887284.6,customer,2026-05-16T12:00:00Z,2026-05-16T12:05:00Z,2026-05-16T12:10:00Z
