organization_id,source_system,source_record_id,deal_id,company_id,deal_name,stage,amount_usd,created_date,close_date,owner_id,pipeline,is_closed_won,source_updated_at,ingested_at,normalized_at
org_northstar_001,hubspot,hub_deal_1,deal_00001,cmp_0272,Company 0272 Opportunity 1,closed_won,3843.31,2025-01-12,2025-02-13,owner_03,new_business,true,2025-02-13T18:00:00Z,2025-02-13T18:05:00Z,2025-02-13T18:10:00Z
org_northstar_001,hubspot,hub_deal_2,deal_00002,cmp_0184,Company 0184 Opportunity 2,closed_won,5210.15,2025-01-08,2025-01-19,owner_06,new_business,true,2025-01-19T18:00:00Z,2025-01-19T18:05:00Z,2025-01-19T18:10:00Z
org_northstar_001,hubspot,hub_deal_3,deal_00003,cmp_0063,Company 0063 Opportunity 3,proposal,3215.09,2025-01-01,2025-01-28,owner_06,new_business,false,2025-01-28T18:00:00Z,2025-01-28T18:05:00Z,2025-01-28T18:10:00Z
org_northstar_001,hubspot,hub_deal_4,deal_00004,cmp_0120,Company 0120 Opportunity 4,demo,6177.53,2025-01-18,2025-01-29,owner_05,new_business,false,2025-01-29T18:00:00Z,2025-01-29T18:05:00Z,2025-01-29T18:10:00Z
org_northstar_001,hubspot,hub_deal_5,deal_00005,cmp_0039,Company 0039 Opportunity 5,closed_lost,4661.62,2025-01-19,2025-03-08,owner_04,new_business,false,2025-03-08T18:00:00Z,2025-03-08T18:05:00Z,2025-03-08T18:10:00Z
org_northstar_001,hubspot,hub_deal_6,deal_00006,cmp_0026,Company 0026 Opportunity 6,proposal,5514.61,2025-01-26,2025-03-05,owner_03,new_business,false,2025-03-05T18:00:00Z,2025-03-05T18:05:00Z,2025-03-05T18:10:00Z
org_northstar_001,hubspot,hub_deal_7,deal_00007,cmp_0168,Company 0168 Opportunity 7,closed_won,11272.15,2025-01-19,2025-02-19,owner_01,new_business,true,2025-02-19T18:00:00Z,2025-02-19T18:05:00Z,2025-02-19T18:10:00Z
org_northstar_001,hubspot,hub_deal_8,deal_00008,cmp_0237,Company 0237 Opportunity 8,closed_lost,2353.41,2025-01-10,2025-01-25,owner_09,new_business,false,2025-01-25T18:00:00Z,2025-01-25T18:05:00Z,2025-01-25T18:10:00Z
org_northstar_001,hubspot,hub_deal_9,deal_00009,cmp_0021,Company 0021 Opportunity 9,closed_won,5079.91,2025-01-11,2025-02-28,owner_07,new_business,true,2025-02-28T18:00:00Z,2025-02-28T18:05:00Z,2025-02-28T18:10:00Z
org_northstar_001,hubspot,hub_deal_10,deal_00010,cmp_0155,Company 0155 Opportunity 10,closed_lost,5966.28,2025-01-09,2025-02-05,owner_05,new_business,false,2025-02-05T18:00:00Z,2025-02-05T18:05:00Z,2025-02-05T18:10:00Z
org_northstar_001,hubspot,hub_deal_11,deal_00011,cmp_0233,Company 0233 Opportunity 11,qualification,3703.25,2025-01-16,2025-03-05,owner_01,new_business,false,2025-03-05T18:00:00Z,2025-03-05T18:05:00Z,2025-03-05T18:10:00Z
org_northstar_001,hubspot,hub_deal_12,deal_00012,cmp_0072,Company 0072 Opportunity 12,closed_lost,4522.73,2025-01-04,2025-01-31,owner_12,new_business,false,2025-01-31T18:00:00Z,2025-01-31T18:05:00Z,2025-01-31T18:10:00Z
org_northstar_001,hubspot,hub_deal_13,deal_00013,cmp_0189,Company 0189 Opportunity 13,qualification,2091.53,2025-01-27,2025-03-09,owner_02,new_business,false,2025-03-09T18:00:00Z,2025-03-09T18:05:00Z,2025-03-09T18:10:00Z
org_northstar_001,hubspot,hub_deal_14,deal_00014,cmp_0025,Company 0025 Opportunity 14,closed_won,14057.86,2025-01-10,2025-01-21,owner_07,new_business,true,2025-01-21T18:00:00Z,2025-01-21T18:05:00Z,2025-01-21T18:10:00Z
org_northstar_001,hubspot,hub_deal_15,deal_00015,cmp_0139,Company 0139 Opportunity 15,closed_lost,3544.34,2025-01-23,2025-02-09,owner_03,new_business,false,2025-02-09T18:00:00Z,2025-02-09T18:05:00Z,2025-02-09T18:10:00Z
org_northstar_001,hubspot,hub_deal_16,deal_00016,cmp_0300,Company 0300 Opportunity 16,qualification,6167.43,2025-01-28,2025-03-02,owner_08,new_business,false,2025-03-02T18:00:00Z,2025-03-02T18:05:00Z,2025-03-02T18:10:00Z
org_northstar_001,hubspot,hub_deal_17,deal_00017,cmp_0251,Company 0251 Opportunity 17,closed_lost,4224.3,2025-01-09,2025-02-05,owner_05,new_business,false,2025-02-05T18:00:00Z,2025-02-05T18:05:00Z,2025-02-05T18:10:00Z
org_northstar_001,hubspot,hub_deal_18,deal_00018,cmp_0043,Company 0043 Opportunity 18,demo,10597.9,2025-01-12,2025-02-23,owner_04,new_business,false,2025-02-23T18:00:00Z,2025-02-23T18:05:00Z,2025-02-23T18:10:00Z
org_northstar_001,hubspot,hub_deal_19,deal_00019,cmp_0040,Company 0040 Opportunity 19,closed_won,8691.24,2025-01-03,2025-02-10,owner_02,new_business,true,2025-02-10T18:00:00Z,2025-02-10T18:05:00Z,2025-02-10T18:10:00Z
org_northstar_001,hubspot,hub_deal_20,deal_00020,cmp_0175,Company 0175 Opportunity 20,proposal,8579.66,2025-01-07,2025-02-20,owner_08,new_business,false,2025-02-20T18:00:00Z,2025-02-20T18:05:00Z,2025-02-20T18:10:00Z
org_northstar_001,hubspot,hub_deal_21,deal_00021,cmp_0079,Company 0079 Opportunity 21,closed_won,4928.7,2025-01-28,2025-03-08,owner_10,new_business,true,2025-03-08T18:00:00Z,2025-03-08T18:05:00Z,2025-03-08T18:10:00Z
org_northstar_001,hubspot,hub_deal_22,deal_00022,cmp_0263,Company 0263 Opportunity 22,closed_won,4671.34,2025-01-07,2025-02-08,owner_05,new_business,true,2025-02-08T18:00:00Z,2025-02-08T18:05:00Z,2025-02-08T18:10:00Z
org_northstar_001,hubspot,hub_deal_23,deal_00023,cmp_0296,Company 0296 Opportunity 23,closed_won,7935.16,2025-01-21,2025-02-03,owner_05,new_business,true,2025-02-03T18:00:00Z,2025-02-03T18:05:00Z,2025-02-03T18:10:00Z
org_northstar_001,hubspot,hub_deal_24,deal_00024,cmp_0061,Company 0061 Opportunity 24,demo,3095.77,2025-01-18,2025-01-30,owner_09,new_business,false,2025-01-30T18:00:00Z,2025-01-30T18:05:00Z,2025-01-30T18:10:00Z
org_northstar_001,hubspot,hub_deal_25,deal_00025,cmp_0171,Company 0171 Opportunity 25,closed_won,2038.61,2025-01-02,2025-02-06,owner_12,new_business,true,2025-02-06T18:00:00Z,2025-02-06T18:05:00Z,2025-02-06T18:10:00Z
org_northstar_001,hubspot,hub_deal_26,deal_00026,cmp_0217,Company 0217 Opportunity 26,closed_won,3938.82,2025-01-07,2025-02-01,owner_10,new_business,true,2025-02-01T18:00:00Z,2025-02-01T18:05:00Z,2025-02-01T18:10:00Z
org_northstar_001,hubspot,hub_deal_27,deal_00027,cmp_0253,Company 0253 Opportunity 27,closed_won,3410.15,2025-01-17,2025-02-20,owner_02,new_business,true,2025-02-20T18:00:00Z,2025-02-20T18:05:00Z,2025-02-20T18:10:00Z
