organization_id,source_system,source_record_id,date,channel,sessions,users,conversions,conversion_rate,bounce_rate,revenue_attributed_usd,source_updated_at,ingested_at,normalized_at
org_northstar_001,ga4,ga4_20250101_organic_search,2025-01-01,Organic Search,346,272,11,0.0318,0.4653,9572.48,2025-01-01T23:00:00Z,2025-01-02T03:00:00Z,2025-01-02T03:05:00Z
org_northstar_001,ga4,ga4_20250101_paid_search,2025-01-01,Paid Search,252,193,10,0.0397,0.4255,10020.38,2025-01-01T23:00:00Z,2025-01-02T03:00:00Z,2025-01-02T03:05:00Z
org_northstar_001,ga4,ga4_20250101_direct,2025-01-01,Direct,236,171,11,0.0466,0.421,8810.19,2025-01-01T23:00:00Z,2025-01-02T03:00:00Z,2025-01-02T03:05:00Z
org_northstar_001,ga4,ga4_20250101_referral,2025-01-01,Referral,78,63,2,0.0256,0.4144,1835.1,2025-01-01T23:00:00Z,2025-01-02T03:00:00Z,2025-01-02T03:05:00Z
org_northstar_001,ga4,ga4_20250101_email,2025-01-01,Email,121,88,7,0.0579,0.4332,6667.01,2025-01-01T23:00:00Z,2025-01-02T03:00:00Z,2025-01-02T03:05:00Z
org_northstar_001,ga4,ga4_20250101_social,2025-01-01,Social,83,59,1,0.012,0.4809,1098.99,2025-01-01T23:00:00Z,2025-01-02T03:00:00Z,2025-01-02T03:05:00Z
org_northstar_001,ga4,ga4_20250102_organic_search,2025-01-02,Organic Search,297,246,9,0.0303,0.3983,9208.19,2025-01-02T23:00:00Z,2025-01-03T03:00:00Z,2025-01-03T03:05:00Z
org_northstar_001,ga4,ga4_20250102_paid_search,2025-01-02,Paid Search,252,210,11,0.0437,0.4036,11788.75,2025-01-02T23:00:00Z,2025-01-03T03:00:00Z,2025-01-03T03:05:00Z
org_northstar_001,ga4,ga4_20250102_direct,2025-01-02,Direct,215,173,11,0.0512,0.3975,8574.12,2025-01-02T23:00:00Z,2025-01-03T03:00:00Z,2025-01-03T03:05:00Z
org_northstar_001,ga4,ga4_20250102_referral,2025-01-02,Referral,90,73,3,0.0333,0.3913,2558.67,2025-01-02T23:00:00Z,2025-01-03T03:00:00Z,2025-01-03T03:05:00Z
org_northstar_001,ga4,ga4_20250102_email,2025-01-02,Email,112,85,6,0.0536,0.4182,4719.08,2025-01-02T23:00:00Z,2025-01-03T03:00:00Z,2025-01-03T03:05:00Z
org_northstar_001,ga4,ga4_20250102_social,2025-01-02,Social,83,60,1,0.012,0.5608,806.47,2025-01-02T23:00:00Z,2025-01-03T03:00:00Z,2025-01-03T03:05:00Z
org_northstar_001,ga4,ga4_20250103_organic_search,2025-01-03,Organic Search,311,231,10,0.0322,0.4534,10868.16,2025-01-03T23:00:00Z,2025-01-04T03:00:00Z,2025-01-04T03:05:00Z
org_northstar_001,ga4,ga4_20250103_paid_search,2025-01-03,Paid Search,276,221,12,0.0435,0.4822,12777.45,2025-01-03T23:00:00Z,2025-01-04T03:00:00Z,2025-01-04T03:05:00Z
org_northstar_001,ga4,ga4_20250103_direct,2025-01-03,Direct,247,193,10,0.0405,0.4115,7660.57,2025-01-03T23:00:00Z,2025-01-04T03:00:00Z,2025-01-04T03:05:00Z
org_northstar_001,ga4,ga4_20250103_referral,2025-01-03,Referral,87,74,2,0.023,0.3552,1421.05,2025-01-03T23:00:00Z,2025-01-04T03:00:00Z,2025-01-04T03:05:00Z
org_northstar_001,ga4,ga4_20250103_email,2025-01-03,Email,109,86,6,0.055,0.4092,4413.65,2025-01-03T23:00:00Z,2025-01-04T03:00:00Z,2025-01-04T03:05:00Z
org_northstar_001,ga4,ga4_20250103_social,2025-01-03,Social,79,58,1,0.0127,0.5446,710.97,2025-01-03T23:00:00Z,2025-01-04T03:00:00Z,2025-01-04T03:05:00Z
org_northstar_001,ga4,ga4_20250104_organic_search,2025-01-04,Organic Search,278,224,9,0.0324,0.5046,9697.37,2025-01-04T23:00:00Z,2025-01-05T03:00:00Z,2025-01-05T03:05:00Z
org_northstar_001,ga4,ga4_20250104_paid_search,2025-01-04,Paid Search,222,167,9,0.0405,0.3954,9003.33,2025-01-04T23:00:00Z,2025-01-05T03:00:00Z,2025-01-05T03:05:00Z
org_northstar_001,ga4,ga4_20250104_direct,2025-01-04,Direct,176,141,9,0.0511,0.4372,6827.78,2025-01-04T23:00:00Z,2025-01-05T03:00:00Z,2025-01-05T03:05:00Z
org_northstar_001,ga4,ga4_20250104_referral,2025-01-04,Referral,62,53,2,0.0323,0.3925,1984.77,2025-01-04T23:00:00Z,2025-01-05T03:00:00Z,2025-01-05T03:05:00Z
org_northstar_001,ga4,ga4_20250104_email,2025-01-04,Email,87,70,5,0.0575,0.4675,5130.64,2025-01-04T23:00:00Z,2025-01-05T03:00:00Z,2025-01-05T03:05:00Z
org_northstar_001,ga4,ga4_20250104_social,2025-01-04,Social,75,64,1,0.0133,0.5317,1057.67,2025-01-04T23:00:00Z,2025-01-05T03:00:00Z,2025-01-05T03:05:00Z
org_northstar_001,ga4,ga4_20250105_organic_search,2025-01-05,Organic Search,248,183,9,0.0363,0.3613,7581.78,2025-01-05T23:00:00Z,2025-01-06T03:00:00Z,2025-01-06T03:05:00Z
org_northstar_001,ga4,ga4_20250105_paid_search,2025-01-05,Paid Search,209,177,9,0.0431,0.4517,7885.27,2025-01-05T23:00:00Z,2025-01-06T03:00:00Z,2025-01-06T03:05:00Z
org_northstar_001,ga4,ga4_20250105_direct,2025-01-05,Direct,174,135,7,0.0402,0.4599,5626.6,2025-01-05T23:00:00Z,2025-01-06T03:00:00Z,2025-01-06T03:05:00Z
org_northstar_001,ga4,ga4_20250105_referral,2025-01-05,Referral,61,47,1,0.0164,0.4866,737.48,2025-01-05T23:00:00Z,2025-01-06T03:00:00Z,2025-01-06T03:05:00Z
org_northstar_001,ga4,ga4_20250105_email,2025-01-05,Email,94,78,5,0.0532,0.4705,3683.01,2025-01-05T23:00:00Z,2025-01-06T03:00:00Z,2025-01-06T03:05:00Z
org_northstar_001,ga4,ga4_20250105_social,2025-01-05,Social,71,51,1,0.0141,0.574,1056.4,2025-01-05T23:00:00Z,2025-01-06T03:00:00Z,2025-01-06T03:05:00Z
org_northstar_001,ga4,ga4_20250106_organic_search,2025-01-06,Organic Search,349,280,13,0.0372,0.4003,13799.82,2025-01-06T23:00:00Z,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z
org_northstar_001,ga4,ga4_20250106_paid_search,2025-01-06,Paid Search,245,201,10,0.0408,0.4084,10773.08,2025-01-06T23:00:00Z,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z
org_northstar_001,ga4,ga4_20250106_direct,2025-01-06,Direct,232,194,11,0.0474,0.4399,9260.42,2025-01-06T23:00:00Z,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z
org_northstar_001,ga4,ga4_20250106_referral,2025-01-06,Referral,93,70,3,0.0323,0.4332,3048.14,2025-01-06T23:00:00Z,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z
org_northstar_001,ga4,ga4_20250106_email,2025-01-06,Email,109,83,5,0.0459,0.4705,3854.06,2025-01-06T23:00:00Z,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z
org_northstar_001,ga4,ga4_20250106_social,2025-01-06,Social,84,70,1,0.0119,0.5204,923.28,2025-01-06T23:00:00Z,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z
org_northstar_001,ga4,ga4_20250107_organic_search,2025-01-07,Organic Search,322,248,10,0.0311,0.4719,10435.97,2025-01-07T23:00:00Z,2025-01-08T03:00:00Z,2025-01-08T03:05:00Z
org_northstar_001,ga4,ga4_20250107_paid_search,2025-01-07,Paid Search,278,225,10,0.036,0.4106,9559.99,2025-01-07T23:00:00Z,2025-01-08T03:00:00Z,2025-01-08T03:05:00Z
org_northstar_001,ga4,ga4_20250107_direct,2025-01-07,Direct,244,207,12,0.0492,0.4201,10241.91,2025-01-07T23:00:00Z,2025-01-08T03:00:00Z,2025-01-08T03:05:00Z
org_northstar_001,ga4,ga4_20250107_referral,2025-01-07,Referral,84,63,2,0.0238,0.477,1420.5,2025-01-07T23:00:00Z,2025-01-08T03:00:00Z,2025-01-08T03:05:00Z
org_northstar_001,ga4,ga4_20250107_email,2025-01-07,Email,110,84,5,0.0455,0.4748,3704.42,2025-01-07T23:00:00Z,2025-01-08T03:00:00Z,2025-01-08T03:05:00Z
org_northstar_001,ga4,ga4_20250107_social,2025-01-07,Social,81,69,1,0.0123,0.5533,1004.02,2025-01-07T23:00:00Z,2025-01-08T03:00:00Z,2025-01-08T03:05:00Z
org_northstar_001,ga4,ga4_20250108_organic_search,2025-01-08,Organic Search,363,282,13,0.0358,0.4592,12084.13,2025-01-08T23:00:00Z,2025-01-09T03:00:00Z,2025-01-09T03:05:00Z
org_northstar_001,ga4,ga4_20250108_paid_search,2025-01-08,Paid Search,288,216,12,0.0417,0.4593,10956.98,2025-01-08T23:00:00Z,2025-01-09T03:00:00Z,2025-01-09T03:05:00Z
org_northstar_001,ga4,ga4_20250108_direct,2025-01-08,Direct,224,180,11,0.0491,0.4476,9809.9,2025-01-08T23:00:00Z,2025-01-09T03:00:00Z,2025-01-09T03:05:00Z
org_northstar_001,ga4,ga4_20250108_referral,2025-01-08,Referral,100,82,3,0.03,0.4506,2790.9,2025-01-08T23:00:00Z,2025-01-09T03:00:00Z,2025-01-09T03:05:00Z
org_northstar_001,ga4,ga4_20250108_email,2025-01-08,Email,110,88,5,0.0455,0.4225,5159.39,2025-01-08T23:00:00Z,2025-01-09T03:00:00Z,2025-01-09T03:05:00Z
org_northstar_001,ga4,ga4_20250108_social,2025-01-08,Social,91,75,2,0.022,0.5731,1686.2,2025-01-08T23:00:00Z,2025-01-09T03:00:00Z,2025-01-09T03:05:00Z
org_northstar_001,ga4,ga4_20250109_organic_search,2025-01-09,Organic Search,358,287,14,0.0391,0.5011,13802.51,2025-01-09T23:00:00Z,2025-01-10T03:00:00Z,2025-01-10T03:05:00Z
org_northstar_001,ga4,ga4_20250109_paid_search,2025-01-09,Paid Search,244,182,10,0.041,0.4294,10577.77,2025-01-09T23:00:00Z,2025-01-10T03:00:00Z,2025-01-10T03:05:00Z
org_northstar_001,ga4,ga4_20250109_direct,2025-01-09,Direct,216,185,9,0.0417,0.4287,6639.82,2025-01-09T23:00:00Z,2025-01-10T03:00:00Z,2025-01-10T03:05:00Z
org_northstar_001,ga4,ga4_20250109_referral,2025-01-09,Referral,86,71,2,0.0233,0.4746,1532.46,2025-01-09T23:00:00Z,2025-01-10T03:00:00Z,2025-01-10T03:05:00Z
org_northstar_001,ga4,ga4_20250109_email,2025-01-09,Email,123,93,6,0.0488,0.4411,4433.67,2025-01-09T23:00:00Z,2025-01-10T03:00:00Z,2025-01-10T03:05:00Z
org_northstar_001,ga4,ga4_20250109_social,2025-01-09,Social,86,62,1,0.0116,0.5642,815.66,2025-01-09T23:00:00Z,2025-01-10T03:00:00Z,2025-01-10T03:05:00Z
org_northstar_001,ga4,ga4_20250110_organic_search,2025-01-10,Organic Search,300,239,10,0.0333,0.4842,8936.96,2025-01-10T23:00:00Z,2025-01-11T03:00:00Z,2025-01-11T03:05:00Z
org_northstar_001,ga4,ga4_20250110_paid_search,2025-01-10,Paid Search,297,244,13,0.0438,0.4527,9759.24,2025-01-10T23:00:00Z,2025-01-11T03:00:00Z,2025-01-11T03:05:00Z
org_northstar_001,ga4,ga4_20250110_direct,2025-01-10,Direct,212,168,10,0.0472,0.4,10825.7,2025-01-10T23:00:00Z,2025-01-11T03:00:00Z,2025-01-11T03:05:00Z
org_northstar_001,ga4,ga4_20250110_referral,2025-01-10,Referral,95,79,3,0.0316,0.3978,2761.38,2025-01-10T23:00:00Z,2025-01-11T03:00:00Z,2025-01-11T03:05:00Z
org_northstar_001,ga4,ga4_20250110_email,2025-01-10,Email,101,73,5,0.0495,0.3161,5074.55,2025-01-10T23:00:00Z,2025-01-11T03:00:00Z,2025-01-11T03:05:00Z
org_northstar_001,ga4,ga4_20250110_social,2025-01-10,Social,97,78,2,0.0206,0.5378,1901.27,2025-01-10T23:00:00Z,2025-01-11T03:00:00Z,2025-01-11T03:05:00Z
org_northstar_001,ga4,ga4_20250111_organic_search,2025-01-11,Organic Search,293,233,11,0.0375,0.3686,8795.49,2025-01-11T23:00:00Z,2025-01-12T03:00:00Z,2025-01-12T03:05:00Z
org_northstar_001,ga4,ga4_20250111_paid_search,2025-01-11,Paid Search,235,182,10,0.0426,0.4149,8761.39,2025-01-11T23:00:00Z,2025-01-12T03:00:00Z,2025-01-12T03:05:00Z
org_northstar_001,ga4,ga4_20250111_direct,2025-01-11,Direct,194,150,8,0.0412,0.4419,6688.91,2025-01-11T23:00:00Z,2025-01-12T03:00:00Z,2025-01-12T03:05:00Z
