organization_id,source_system,source_record_id,expense_id,expense_date,category,vendor,amount_usd,department,is_recurring,source_updated_at,ingested_at,normalized_at
org_northstar_001,quickbooks,qbo_expense_1,exp_000001,2025-01-20,Paid Media,Paid Media Vendor 02,1664.24,Marketing,false,2025-01-20T19:00:00Z,2025-01-20T19:03:00Z,2025-01-20T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_2,exp_000002,2025-01-05,Cloud Hosting,Cloud Hosting Vendor 07,3136.38,Engineering,true,2025-01-05T19:00:00Z,2025-01-05T19:03:00Z,2025-01-05T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_3,exp_000003,2025-01-12,Paid Media,Paid Media Vendor 16,3490.6,Marketing,false,2025-01-12T19:00:00Z,2025-01-12T19:03:00Z,2025-01-12T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_4,exp_000004,2025-01-20,Contractors,Contractors Vendor 15,1892.52,Operations,false,2025-01-20T19:00:00Z,2025-01-20T19:03:00Z,2025-01-20T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_5,exp_000005,2025-01-14,Travel,Travel Vendor 16,728.8,Sales,false,2025-01-14T19:00:00Z,2025-01-14T19:03:00Z,2025-01-14T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_6,exp_000006,2025-01-13,Office,Office Vendor 04,265.7,Operations,false,2025-01-13T19:00:00Z,2025-01-13T19:03:00Z,2025-01-13T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_7,exp_000007,2025-01-19,Office,Office Vendor 09,1418.61,Operations,false,2025-01-19T19:00:00Z,2025-01-19T19:03:00Z,2025-01-19T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_8,exp_000008,2025-01-07,Payroll,Payroll Vendor 09,7627.14,People,true,2025-01-07T19:00:00Z,2025-01-07T19:03:00Z,2025-01-07T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_9,exp_000009,2025-01-07,Travel,Travel Vendor 10,4060.85,Sales,false,2025-01-07T19:00:00Z,2025-01-07T19:03:00Z,2025-01-07T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_10,exp_000010,2025-01-23,Contractors,Contractors Vendor 13,2701.01,Operations,false,2025-01-23T19:00:00Z,2025-01-23T19:03:00Z,2025-01-23T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_11,exp_000011,2025-01-01,Cloud Hosting,Cloud Hosting Vendor 14,3199.72,Engineering,true,2025-01-01T19:00:00Z,2025-01-01T19:03:00Z,2025-01-01T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_12,exp_000012,2025-01-03,Travel,Travel Vendor 02,1684.84,Sales,false,2025-01-03T19:00:00Z,2025-01-03T19:03:00Z,2025-01-03T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_13,exp_000013,2025-01-20,Travel,Travel Vendor 08,1582.87,Sales,false,2025-01-20T19:00:00Z,2025-01-20T19:03:00Z,2025-01-20T19:06:00Z
org_northstar_001,quickbooks,qbo_expense_14,exp_000014,2025-01-14,Professional Services,Professional Services Vendor 02,1114.19,Finance,false,2025-01-14T19:00:00Z,2025-01-14T19:03:00Z,2025-01-14T19:06:00Z
