organization_id,source_system,source_record_id,ticket_id,customer_id,created_at,priority,category,status,first_response_minutes,resolution_minutes,satisfaction_score,source_updated_at,ingested_at,normalized_at
org_northstar_001,zendesk,zd_ticket_1,tkt_000001,cus_00437,2025-01-01T08:02:00Z,high,Billing,solved,49,246,4.6,2025-01-01T08:02:00Z,2025-01-01T08:02:00Z,2025-01-01T08:02:00Z
org_northstar_001,zendesk,zd_ticket_2,tkt_000002,cus_00011,2025-01-01T15:51:00Z,normal,Billing,solved,35,567,3.0,2025-01-01T15:51:00Z,2025-01-01T15:51:00Z,2025-01-01T15:51:00Z
org_northstar_001,zendesk,zd_ticket_3,tkt_000003,cus_00186,2025-01-01T17:45:00Z,low,Integration,closed,17,406,4.7,2025-01-01T17:45:00Z,2025-01-01T17:45:00Z,2025-01-01T17:45:00Z
org_northstar_001,zendesk,zd_ticket_4,tkt_000004,cus_00462,2025-01-01T10:15:00Z,normal,Bug,solved,40,147,2.8,2025-01-01T10:15:00Z,2025-01-01T10:15:00Z,2025-01-01T10:15:00Z
org_northstar_001,zendesk,zd_ticket_5,tkt_000005,cus_00268,2025-01-01T17:51:00Z,normal,How-to,closed,19,1234,4.5,2025-01-01T17:51:00Z,2025-01-01T17:51:00Z,2025-01-01T17:51:00Z
org_northstar_001,zendesk,zd_ticket_6,tkt_000006,cus_00256,2025-01-02T19:44:00Z,low,Performance,open,9,487,3.2,2025-01-02T19:44:00Z,2025-01-02T19:44:00Z,2025-01-02T19:44:00Z
org_northstar_001,zendesk,zd_ticket_7,tkt_000007,cus_00238,2025-01-02T08:16:00Z,normal,Performance,solved,61,710,4.0,2025-01-02T08:16:00Z,2025-01-02T08:16:00Z,2025-01-02T08:16:00Z
org_northstar_001,zendesk,zd_ticket_8,tkt_000008,cus_00169,2025-01-03T08:39:00Z,high,How-to,solved,24,570,5,2025-01-03T08:39:00Z,2025-01-03T08:39:00Z,2025-01-03T08:39:00Z
org_northstar_001,zendesk,zd_ticket_9,tkt_000009,cus_00384,2025-01-03T19:42:00Z,normal,Integration,closed,43,231,4.5,2025-01-03T19:42:00Z,2025-01-03T19:42:00Z,2025-01-03T19:42:00Z
org_northstar_001,zendesk,zd_ticket_10,tkt_000010,cus_00338,2025-01-03T11:20:00Z,normal,Integration,solved,34,752,3.4,2025-01-03T11:20:00Z,2025-01-03T11:20:00Z,2025-01-03T11:20:00Z
org_northstar_001,zendesk,zd_ticket_11,tkt_000011,cus_00292,2025-01-03T19:32:00Z,normal,Integration,closed,28,378,3.6,2025-01-03T19:32:00Z,2025-01-03T19:32:00Z,2025-01-03T19:32:00Z
